codice,denominazione,profilo,profilo_label,termini_processuali,fonti_ufficiali,quality_hint
012002,Consulenza tecnica preventiva (art. 696-bis cpc.) - responsabilità sanitaria L. 24/2017,atp_istruzione_preventiva,ATP e istruzione preventiva,3,5,curata_codex_fonti_ufficiali
012003,Consulenza tecnica preventiva (art. 696-bis cpc) - altre ipotesi,atp_istruzione_preventiva,ATP e istruzione preventiva,3,5,curata_codex_fonti_ufficiali
014002,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato (art. 33 L. n. 287/90),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017002,Sequestro giudiziario ex art. 670 c.p.c. - Sez. Spec. Impresa,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017003,Sequestro (liberatorio) ex art. 687 c.p.c. - Sez. Spec. Impresa,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017004,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017007,Sequestro (art. 129 c.p.i.),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017008,Descrizione (art. 129 c.p.i.),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017009,Inibitoria (art. 156 l. n. 663/1941 – Legge Autore),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017010,Sequestro (art. 161 l. n. 633/1941 – Legge Autore),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017011,Descrizione (art. 161 L.633/1941 – Legge Autore),cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
017012,Consulenza tecnica preventiva (art. 128 c.p.i.),atp_istruzione_preventiva,ATP e istruzione preventiva,3,5,curata_codex_fonti_ufficiali
017999,Altri procedimenti cautelari - Sez. Spec. Impresa,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
018001,Istanza sospensione dell'esecuzione ex art. 373 c.p.c.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
018002,Altri procedimenti cautelari,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
019999,Altri procedimenti cautelari,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
