codice,denominazione,area,parent_codice,coverage,needs_reviewer,file_fonte
010001,Decreto Ingiuntivo,Procedimenti speciali sommari,010,curata,False,XSD_SIGP_20241128/schema/base_v2/tipi-base.xsd
010002,"Procedimento di ingiunzione Ante Causam (intermediazione finanziaria, bancari e creditizia)",Procedimenti speciali sommari,010,curata,False,XSD_Cassazione_20260227/parte/base_v7/tipi-base.xsd
010003,Procedimento di ingiunzione ante causam (vendita),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010004,Procedimento di ingiunzione ante causam (diritti reali e condominio),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010005,Procedimento di ingiunzione ante causam (intermediazione finanziaria),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010006,Procedimento di ingiunzione ante causam (rapporti bancari),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010007,Procedimento di ingiunzione ante causam (titoli di credito),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010008,Procedimento di ingiunzione ante causam (contratti di borsa),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010009,Procedimento di ingiunzione ante causam (assicurazione),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010010,Procedimento di ingiunzione ante causam (fideiussione e altre garanzie),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
010011,Procedimento di ingiunzione ante causam (somministrazione),Procedimenti speciali sommari,010,curata,False,XSD_SICI_20260116/XSD_SICI_20260116/Atti/sici/tipi-base.xsd
