module,macro_area,codice,denominazione,field,source_path,full_path,service_path,source_present,full_kb_present,service_present,ui_supported,lex_supported,source_steps,service_steps,missing_steps_in_service,source_value,service_value,value_changed_in_service,service_error,status
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,denominazione,denominazione,denominazione,denominazione,True,True,True,True,True,,,,Procedimento di ingiunzione ante causam,Procedimento di ingiunzione ante causam,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,categoria,categoria,categoria,categoria,True,True,True,True,True,,,,Procedimenti speciali sommari,Procedimenti speciali sommari,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,sottocategoria,sottocategoria,sottocategoria,sottocategoria,True,True,True,True,True,,,,Procedimento di ingiunzione (rito monitorio),Procedimento di ingiunzione (rito monitorio),False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,rito,rito,rito,rito,True,True,True,True,True,,,,Procedimento monitorio ex artt. 633-656 c.p.c.,Procedimento monitorio ex artt. 633-656 c.p.c.,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,competenza,competenza,competenza,competenza,True,True,True,True,True,,,,Giudice competente per la causa nel merito secondo le regole ordinarie - Tribunale o Giudice di Pace in base al valore (art. 637 c.p.c.); Sezione Specializzata in materia di Impresa per controversie societarie/industriali; foro speciale dell'art. 33 D.Lgs. 206/2005 per consumatore,Giudice competente per la causa nel merito secondo le regole ordinarie - Tribunale o Giudice di Pace in base al valore (art. 637 c.p.c.); Sezione Specializzata in materia di Impresa per controversie societarie/industriali; foro speciale dell'art. 33 D.Lgs. 206/2005 per consumatore,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,uffici_destinatari,uffici_destinatari,uffici_destinatari,uffici_destinatari,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,legittimati_attivi,legittimati_attivi,legittimati_attivi,legittimati_attivi,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,adempimenti_propedeutici,adempimenti_propedeutici,adempimenti_propedeutici,adempimenti_propedeutici,True,True,True,True,True,"1,2,3,4,5,6","1,2,3,4,5,6",,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,allegati_obbligatori,allegati_obbligatori,allegati_obbligatori,allegati_obbligatori,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,termini_processuali,termini_processuali,termini_processuali,termini_processuali,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,esiti_processuali_tipici,esiti_processuali_tipici,esiti_processuali_tipici,esiti_processuali_tipici,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,normativa,normativa,normativa,normativa,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,atto_principale,atto_principale,atto_principale,atto_principale,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,specialistica:registro_sgr,registro_sgr,registro_sgr,registro_sgr,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,010001,Procedimento di ingiunzione ante causam,specialistica:controlli_qualita_input,controlli_qualita_input,controlli_qualita_input,controlli_qualita_input,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),denominazione,denominazione,denominazione,denominazione,True,True,True,True,True,,,,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizione a precetto (art. 615 c. 1 c.p.c.),False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),categoria,categoria,categoria,categoria,True,True,True,True,True,,,,Opposizioni all'esecuzione,Opposizioni all'esecuzione,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),sottocategoria,sottocategoria,sottocategoria,sottocategoria,True,True,True,True,True,,,,Opposizione pre-esecutiva (contestazione del diritto a procedere),Opposizione pre-esecutiva (contestazione del diritto a procedere),False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),rito,rito,rito,rito,True,True,True,True,True,,,,Rito ordinario di cognizione (anche con profili cautelari per sospensione efficacia precetto),Rito ordinario di cognizione (anche con profili cautelari per sospensione efficacia precetto),False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),competenza,competenza,competenza,competenza,True,True,True,True,True,,,,Giudice competente per valore e materia secondo le regole ordinarie (art. 27 c.p.c.) - solo per opposizione ex art. 615 c. 1 (ante esecuzione); diversa la competenza per opposizione c. 2 (G.E.),Giudice competente per valore e materia secondo le regole ordinarie (art. 27 c.p.c.) - solo per opposizione ex art. 615 c. 1 (ante esecuzione); diversa la competenza per opposizione c. 2 (G.E.),False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),uffici_destinatari,uffici_destinatari,uffici_destinatari,uffici_destinatari,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),legittimati_attivi,legittimati_attivi,legittimati_attivi,legittimati_attivi,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),adempimenti_propedeutici,adempimenti_propedeutici,adempimenti_propedeutici,adempimenti_propedeutici,True,True,True,True,True,"1,2,3,4,5,6","1,2,3,4,5,6",,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,richiesta_provvedimenti_urgenti,False,False,False,True,False,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,atto_principale.avvertimenti_obbligatori,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),allegati_obbligatori,allegati_obbligatori,allegati_obbligatori,allegati_obbligatori,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),termini_processuali,termini_processuali,termini_processuali,termini_processuali,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),esiti_processuali_tipici,esiti_processuali_tipici,esiti_processuali_tipici,esiti_processuali_tipici,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),normativa,normativa,normativa,normativa,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,100001,Opposizione a precetto (art. 615 c. 1 c.p.c.),atto_principale,atto_principale,atto_principale,atto_principale,True,True,True,True,True,,,,,,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,111002,Separazione giudiziale,denominazione,denominazione,denominazione,denominazione,True,True,True,True,True,,,,Separazione giudiziale,Separazione giudiziale,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,111002,Separazione giudiziale,categoria,categoria,categoria,categoria,True,True,True,True,True,,,,Separazione coniugale contenziosa,Separazione coniugale contenziosa,False,,ok
kb_98_top9_codici_frequenti_dettaglio_massimo.json,TOP9_CODICI_FREQUENTI,111002,Separazione giudiziale,sottocategoria,sottocategoria,sottocategoria,sottocategoria,True,True,True,True,True,,,,Separazione personale dei coniugi - rito unificato persone e famiglia (post-Cartabia),Separazione personale dei coniugi - rito unificato persone e famiglia (post-Cartabia),False,,ok
