module,macro_area,codice,denominazione,field,source_path,full_path,service_path,source_present,full_kb_present,service_present,ui_supported,lex_supported,source_steps,service_steps,missing_steps_in_service,source_value,service_value,value_changed_in_service,service_error,status
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,denominazione,denominazione,denominazione,denominazione,True,True,True,True,True,,,,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,categoria,categoria,categoria,categoria,True,True,True,True,True,,,,Responsabilità civile – RC veicoli,Responsabilità civile – RC veicoli,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,sottocategoria,sottocategoria,sottocategoria,sottocategoria,False,False,False,True,False,,,,,,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,rito,rito,rito,rito,True,True,True,True,True,,,,Rito ordinario; negoziazione assistita obbligatoria D.L. 132/2014,Rito ordinario; negoziazione assistita obbligatoria D.L. 132/2014,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,competenza,competenza,competenza,competenza,True,True,True,True,True,,,,Tribunale del luogo del sinistro o residenza del danneggiato,Tribunale del luogo del sinistro o residenza del danneggiato,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,uffici_destinatari,uffici_destinatari,uffici_destinatari,uffici_destinatari,True,True,True,True,True,,,,,,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,tipologie_di_intervento,False,False,False,True,False,,,,,,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,presupposti_sostanziali,False,False,False,True,False,,,,,,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,legittimati_attivi,legittimati_attivi,legittimati_attivi,legittimati_attivi,False,False,False,True,False,,,,,,False,,ok
kb_98_set15_parte1.json,TOP18_SET15_PARTE1,GUIDA_RC_DA_CIRCOLAZIONE_VEICOLI_SCONTRO_TRA_VEICOLI_ART_2054_C_C_REGIME_ORDIN_160001,RC da circolazione veicoli – scontro tra veicoli (art. 2054 c.c.) – regime ordinario,obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,obbligo_mediazione,True,True,True,True,True,,,,,,False,,ok
