codice,denominazione,official_catalog,internal_alias,depositabile,fonti_count,presidi_present,non_bloccante,deposit_rule_present,deposit_contaminated,status,error
010001,Procedimento di ingiunzione ante causam,True,False,True,21,True,True,True,False,ok,
010002,"Procedimento di ingiunzione ante causam (intermediazione finanziaria, bancaria e creditizia)",True,False,True,21,True,True,True,False,ok,
010003,DI ante causam (vendita),True,False,True,21,True,True,True,False,ok,
010004,DI ante causam (diritti reali e condominio),True,False,True,21,True,True,True,False,ok,
010005,DI ante causam (intermediazione finanziaria),True,False,True,21,True,True,True,False,ok,
010006,DI ante causam (rapporti bancari),True,False,True,21,True,True,True,False,ok,
010007,DI ante causam (titoli di credito),True,False,True,21,True,True,True,False,ok,
010008,DI ante causam (contratti di borsa),True,False,True,21,True,True,True,False,ok,
010009,DI ante causam (assicurazione),True,False,True,21,True,True,True,False,ok,
010010,DI ante causam (fideiussione e altre garanzie),True,False,True,21,True,True,True,False,ok,
010011,DI ante causam (somministrazione),True,False,True,21,True,True,True,False,ok,
010012,DI ante causam (rapporti con società finanziarie),True,False,True,21,True,True,True,False,ok,
010013,DI ante causam (factoring),True,False,True,21,True,True,True,False,ok,
010014,DI ante causam (leasing),True,False,True,21,True,True,True,False,ok,
010015,DI ante causam (altri contratti tipici),True,False,True,21,True,True,True,False,ok,
010016,DI ante causam (diritto societario non sez. impresa),True,False,True,21,True,True,True,False,ok,
010017,DI ante causam (diritto tributario e doganale),True,False,True,21,True,True,True,False,ok,
010018,DI ante causam (diritto amministrativo),True,False,True,21,True,True,True,False,ok,
010019,DI ante causam (in materia concorsuale),True,False,True,21,True,True,True,False,ok,
010020,"DI ante causam (associazioni, comitati, consorzi e fondazioni)",True,False,True,21,True,True,True,False,ok,
010021,DI ante causam (locazione di immobili),True,False,True,21,True,True,True,False,ok,
010022,DI ante causam (affitto di azienda),True,False,True,21,True,True,True,False,ok,
010023,DI ante causam (prestazione d'opera intellettuale),True,False,True,21,True,True,True,False,ok,
010024,DI ante causam (altri contratti d'opera),True,False,True,21,True,True,True,False,ok,
010025,DI ante causam (appalto privato),True,False,True,21,True,True,True,False,ok,
010026,DI ante causam (appalto opere pubbliche sottosoglia UE),True,False,True,21,True,True,True,False,ok,
010027,DI ante causam (altri rapporti con la PA),True,False,True,21,True,True,True,False,ok,
010028,DI ante causam - Sez. Spec. Impresa,True,False,True,20,True,True,True,False,ok,
010029,DI ante causam (rapporti familiari),True,False,True,21,True,True,True,False,ok,
010999,DI ante causam (altre ipotesi),True,False,True,21,True,True,True,False,ok,
011001,Sequestro conservativo (art. 671 c.p.c.),True,False,True,11,True,True,True,False,ok,
011002,Sequestro giudiziario ex art. 670 c.p.c.,True,False,True,10,True,True,True,False,ok,
011003,Sequestro liberatorio ex art. 687 c.p.c.,True,False,True,10,True,True,True,False,ok,
011011,"Sequestro da norme speciali (L. 633/1941 diritto d'autore, R.D. 1127/1939 invenzioni, R.D. 929/1942 marchi)",True,False,True,11,True,True,True,False,ok,
012001,Prova testimoniale e/o Accertamento tecnico preventivo (ATP),True,False,True,11,True,True,True,False,ok,
