bucket,codice,denominazione,termini_processuali,source_files
codex_curated_completion,012002,Consulenza tecnica preventiva (art. 696-bis cpc.) - responsabilità sanitaria L. 24/2017,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,012003,Consulenza tecnica preventiva (art. 696-bis cpc) - altre ipotesi,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,014002,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato (art. 33 L. n. 287/90),3,kb_01_procedimenti_speciali_cautelari.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017002,Sequestro giudiziario ex art. 670 c.p.c. - Sez. Spec. Impresa,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017003,Sequestro (liberatorio) ex art. 687 c.p.c. - Sez. Spec. Impresa,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017004,Provvedimenti cautelari in materia di tutela della concorrenza e del mercato,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017007,Sequestro (art. 129 c.p.i.),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017008,Descrizione (art. 129 c.p.i.),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017009,Inibitoria (art. 156 l. n. 663/1941 – Legge Autore),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017010,Sequestro (art. 161 l. n. 633/1941 – Legge Autore),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017011,Descrizione (art. 161 L.633/1941 – Legge Autore),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017012,Consulenza tecnica preventiva (art. 128 c.p.i.),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,017999,Altri procedimenti cautelari - Sez. Spec. Impresa,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,018001,Istanza sospensione dell'esecuzione ex art. 373 c.p.c.,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,018002,Altri procedimenti cautelari,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,019999,Altri procedimenti cautelari,3,kb_01_procedimenti_speciali_cautelari.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,030021,Intimazione di licenza o di sfratto per cessazione del rapporto di locazione d'opera (art. 659 c.p.c.),2,kb_00_sfratti.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,050001,Procedimento di Ingiunzione Ante Causam,4,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,051001,Sequestro conservativo ex art. 671 c.p.c.,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,051002,Sequestro giudiziario ex art. 670 c.p.c.,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,051003,Sequestro (liberatorio) ex art. 687 c.p.c.,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,052001,Prova testimoniale e/o Accertamento tecnico preventivo,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,052011,Ispezione preventiva,3,kb_99_completamento_codici_ufficiali.json
