source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_CONDOMINIO_IMPUGNAZIONE_DELIBERA_ASSEMBLEARE_ART_1137_C_C_130115,Condominio: impugnazione delibera assembleare (art. 1137 c.c.),Diritti reali – condominio – assemblea,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (condominio),prescrizione_decadenza,ANNULLABILITÀ,30,,,,DECADENZIALE,,MASSIMA,calcolabile_giorni,True,forward,civil,GP_TERM_CECC9C2AE80C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_CONDOMINIO_IMPUGNAZIONE_DELIBERA_ASSEMBLEARE_ART_1137_C_C_130115,Condominio: impugnazione delibera assembleare (art. 1137 c.c.),Diritti reali – condominio – assemblea,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (condominio),prescrizione_decadenza,NULLITÀ: imprescrittibile,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_22D29D1D5577,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_CONDOMINIO_RIPARTIZIONE_DELLE_SPESE_E_CONTROVERSIE_SUL_RENDICONTO_ARTT_1_130120,Condominio: ripartizione delle spese e controversie sul rendiconto (artt. 1123-1126 c.c.),Diritti reali – condominio – spese,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (condominio),prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_55EFB3DD910F,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_DIRITTO_DI_SUPERFICIE_ACQUISTO_COSTITUZIONE_CONTROVERSIE_ED_ESTINZIONE_A_130125,"Diritto di superficie: acquisto, costituzione, controversie ed estinzione (artt. 952-956 c.c.)",Diritti reali su cosa altrui – superficie,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_CF6D9810B13C,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_DANNO_DA_IMMISSIONI_MOLESTE_RUMORE_FUMI_ODORI_VIBRAZIONI_ART_844_C_C_160170,"Danno da immissioni moleste: rumore, fumi, odori, vibrazioni (art. 844 c.c.)",Diritti reali – rapporti di vicinato – immissioni,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,Inibitoria: IMPRESCRITTIBILE finché durano le immissioni,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_7C791E6C979A,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_DANNO_DA_IMMISSIONI_MOLESTE_RUMORE_FUMI_ODORI_VIBRAZIONI_ART_844_C_C_160170,"Danno da immissioni moleste: rumore, fumi, odori, vibrazioni (art. 844 c.c.)",Diritti reali – rapporti di vicinato – immissioni,,Rito ordinario preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,Risarcimento danni: prescrizione 5 anni,,,,,,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_FA4D3193CD02,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_set25_p1.json,GUIDA_RESPONSABILIT_SANITARIA_DA_INFEZIONE_NOSOCOMIALE_L_24_2017_GELLI_BIANCO_160165,Responsabilità sanitaria da infezione nosocomiale (L. 24/2017 Gelli-Bianco),Responsabilità civile – responsabilità sanitaria speciale,,Rito ordinario preceduto da CTP 696-bis o mediazione (L. 24/2017 art. 8),prescrizione_decadenza,PRESCRIZIONE struttura (contrattuale),,,10,,,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_91E1F8BDE893,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p2.json,GUIDA_LOCAZIONE_ABITATIVA_A_USO_TRANSITORIO_E_PER_STUDENTI_UNIVERSITARI_L_431__140070,Locazione abitativa a uso transitorio e per studenti universitari (L. 431/1998 artt. 5-6),Contratti – locazione abitativa transitoria,,Rito speciale locatizio ex artt. 658-669 c.p.c.,prescrizione_decadenza,Prescrizione canoni,,,5,,,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_C45D067F5126,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p2.json,GUIDA_LOCAZIONE_PER_FINALIT_TURISTICHE_E_AFFITTI_BREVI_L_431_1998_ART_4_D_L_50_140075,Locazione per finalità turistiche e affitti brevi (L. 431/1998 art. 4 + D.L. 50/2017),Contratti – locazione turistica,,Rito ordinario di cognizione (non locatizio per affitti brevi),prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_EF7DC2A19A72,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_set25_p2.json,GUIDA_CONTRATTO_DI_MANDATO_REVOCA_RINUNCIA_E_RESPONSABILIT_DEL_MANDATARIO_ARTT_141040,"Contratto di mandato: revoca, rinuncia e responsabilità del mandatario (artt. 1709-1730 c.c.)",Contratti – mandato,,Rito ordinario di cognizione,prescrizione_decadenza,Prescrizione ordinaria,,,10,,,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_51EEB7B81718,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
