source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,notifica,Notifica decreto al debitore,60,,,deposito decreto,perentorio,art. 644 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_604319ECAF8C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,impugnazione,Opposizione,40,,,notifica decreto,perentorio,art. 641 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_2C745393FC24,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,deposito,Decisione sul ricorso,30,,,deposito ricorso,ordinatorio,art. 641 c. 1 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_A6FE023324E1,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,deposito,Termine ingiungendo all'estero,90,,,deposito decreto,perentorio,art. 644 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_DCD93D76F140,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,impugnazione,Opposizione (ingiunto in Italia),40,,,notifica decreto,perentorio,art. 641 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_90DFBD69F46F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,impugnazione,Opposizione (ingiunto all'estero),50,,,notifica decreto,perentorio,art. 641 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_C29B360D49D9,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,impugnazione,Apposizione formula esecutiva (per mancata opposizione),,,,su istanza dopo scadenza termine opposizione,decadenziale,art. 647 c.p.c.,,informativo_non_calcolabile,False,forward,civil,GP_TERM_67E115E7C904,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base.full.json,010001,Procedimento di ingiunzione ante causam,Procedimenti speciali sommari,Procedimento di ingiunzione (rito monitorio),Procedimento monitorio ex artt. 633-656 c.p.c.,notifica,Decadenza ricorso decreto non notificato,60,,,deposito decreto,decadenziale,art. 644 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_044A47208CC5,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,011001,Sequestro conservativo ex art. 671 c.p.c.,Procedimenti cautelari,,Procedimento cautelare uniforme ex artt. 669-bis e ss. c.p.c.,generico_da_classificare,Instaurazione causa di merito post-sequestro,60,,,esecuzione sequestro,perentorio,art. 669-octies c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_73BCE267EE7C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base.full.json,012002,Consulenza tecnica preventiva (art. 696-bis cpc.) - responsabilità sanitaria L. 24/2017,Procedimenti speciali sommari,Procedimenti cautelari ante causam - istruzione preventiva,Procedimento cautelare o istruzione preventiva,generico_da_classificare,"Termini per osservazioni, nomina consulenti di parte e operazioni peritali",,,,Dal provvedimento di nomina o dal calendario del CTU,termine istruttorio,c.p.c. artt. 696 e 696-bis,Leggere sempre il provvedimento: il termine è normalmente fissato dal giudice o dal CTU.,manual_review,False,forward,admin,GP_TERM_F20A21C0AB62,Richiede verifica professionale prima di calcolo automatico.
