source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,111021,Divorzio congiunto (su domanda di entrambi i coniugi),Scioglimento/cessazione effetti civili del matrimonio - domanda congiunta,Divorzio su accordo dei coniugi - rito unificato persone e famiglia (post-Cartabia),Procedimento speciale ex art. 473-bis.51 c.p.c. (domanda congiunta) - rito unificato persone e famiglia,costituzione,Separazione consensuale: termine per chiedere divorzio,180,,,data prima udienza del giudizio di separazione (o comparizione presidente),presupposto temporale,L. 55/2015,,calcolabile_giorni,True,forward,civil,GP_TERM_FD5C9E51A723,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,111021,Divorzio congiunto (su domanda di entrambi i coniugi),Scioglimento/cessazione effetti civili del matrimonio - domanda congiunta,Divorzio su accordo dei coniugi - rito unificato persone e famiglia (post-Cartabia),Procedimento speciale ex art. 473-bis.51 c.p.c. (domanda congiunta) - rito unificato persone e famiglia,udienza,Separazione giudiziale: termine per chiedere divorzio,365,,,data prima udienza del giudizio di separazione,presupposto temporale,L. 55/2015,,calcolabile_giorni,True,forward,civil,GP_TERM_987A2E8CD4F1,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,111021,Divorzio congiunto (su domanda di entrambi i coniugi),Scioglimento/cessazione effetti civili del matrimonio - domanda congiunta,Divorzio su accordo dei coniugi - rito unificato persone e famiglia (post-Cartabia),Procedimento speciale ex art. 473-bis.51 c.p.c. (domanda congiunta) - rito unificato persone e famiglia,adempimento_amministrativo,Annotazione comune,tempestiva dopo passaggio giudicato,,,,amministrativo,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_74D82BBF224A,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,111021,Divorzio congiunto (su domanda di entrambi i coniugi),Scioglimento/cessazione effetti civili del matrimonio - domanda congiunta,Divorzio su accordo dei coniugi - rito unificato persone e famiglia (post-Cartabia),Procedimento speciale ex art. 473-bis.51 c.p.c. (domanda congiunta) - rito unificato persone e famiglia,prescrizione_decadenza,Termine richiesta TFR,365,,,sentenza di divorzio passata in giudicato,decadenziale per quota TFR,art. 12-bis L. 898/70,,calcolabile_giorni,True,forward,civil,GP_TERM_500ECD444568,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),impugnazione,OPPOSIZIONE,40,,,notifica DI,DECADENZIALE,art. 641 c.p.c.,MASSIMA,calcolabile_giorni,True,forward,civil,GP_TERM_6A24C5946B8A,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),impugnazione,Opposizione con convenuto all'estero,50,,,notifica DI,decadenziale,art. 641 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_733D625AF762,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),impugnazione,Opposizione tardiva ex art. 650,10,,,primo atto esecutivo,decadenziale eccezionale,,,calcolabile_giorni,True,forward,civil,GP_TERM_8DAA0044C05C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),notifica,Costituzione opponente,10,,,notifica citazione (alle stesse condizioni dell'art. 165 c.p.c.),perentorio,art. 645 c. 2 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_592D8D8BAFD3,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),notifica,Termine a comparire post-Cartabia,120,,,notifica citazione,minimo legale,art. 163-bis c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_0C2E99709D68,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set2_parte1.json,100002,Opposizione a decreto ingiuntivo (art. 645 c.p.c.),Opposizioni a provvedimenti monitori,Opposizione al decreto ingiuntivo - trasformazione in giudizio ordinario di cognizione,Rito ordinario di cognizione (l'opposizione apre il giudizio di cognizione piena sul rapporto sostanziale),costituzione,Costituzione opposto,70,,,prima dell'udienza,perentorio (decadenze),art. 166 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_83B12DD075A7,Importabile come template giorni se evento generatore e' valorizzato.
